address,lattitude,longitude
"64 Golden Gate Ave",37.782323,-122.411334
"1480 Sutter St",37.787337,-122.424492
"1388 Sutter St",37.787533,-122.422956
"1776 Sacramento St",37.791502,-122.421907
"732 Washington St",37.795406,-122.405462
"45 03rd St",37.787017,-122.402516
"1600 Jackson St",37.794279,-122.42142
"77 Post St",37.788701,-122.402965
"265 Eddy St",37.78376,-122.411744
"565 Geary St",37.786546,-122.412402
"600 Townsend St",37.77174,-122.401872
"250 Brannan St",37.782932,-122.390821
"400 Grove St",37.777949,-122.423182
"401 Grove St",37.777543,-122.423098
"470 Broadway",37.798234,-122.404849
"515 Howard St",37.788001,-122.396093
"524 Howard St",37.788084,-122.396724
"530 Broadway",37.79811,-122.405814
"680 Mission St",37.786678,-122.401598
"701 Lombard St",37.802569,-122.412863
"65 Fresno St",37.798295,-122.406478
"75 Moss St",37.777642,-122.407375
"840 Sutter St",37.788664,-122.414094
"85 05th St",37.783019,-122.406129
"901 Howard St",37.781244,-122.404639
"345 06th St",37.778,-122.404486
"425 North Point St",37.806241,-122.414042
"1625 Owens St",37.768128,-122.393504
"1650 03rd St",37.768365,-122.389408
"1855 Folsom St",37.767406,-122.413806
"3111 17th St",37.764027,-122.415587
"3333 California St",37.786721,-122.448834
"500 Parnassus Ave",37.763756,-122.458208
"533 Laurel St",37.785836,-122.449486
"568 Laurel St",37.785487,-122.448926
"6 Kirkham St",37.760703,-122.460519
"64 Kirkham St",37.760677,-122.461122
"83 Channel St",37.772656,-122.393194
"2001 Union St",37.797235,-122.432138
"1550 Union St",37.798602,-122.424669
"909 Montgomery St",37.797357,-122.403771
"200 Kansas St",37.767124,-122.403817
"2130 Fulton St",37.775351,-122.451045
"998 Sansome St",37.798976,-122.401896
"3151 22nd St",37.755233,-122.417708
"10 Natoma St",37.78941,-122.396121
"136 Townsend St",37.7801,-122.391287
"1375 Sutter St",37.78715,-122.422686
"1398 Stevenson St",37.770026,-122.421668
"1399 Stevenson St",37.770058,-122.42115
"150 01st St",37.788955,-122.396797
"250 Main St",37.789788,-122.392615
"270 Brannan St",37.782668,-122.391155
"38 08th St",37.777949,-122.414013
"535 Mission St",37.788854,-122.398107
"546 Howard St",37.787717,-122.397188
"601 Bay St",37.804956,-122.416691
"67 Turk St",37.783027,-122.410031
"81 Minna St",37.787777,-122.398388
"855 Geary St",37.785946,-122.417104
"900 Folsom St",37.780281,-122.403485
"923 Brannan St",37.770754,-122.405492
"942 Jessie St",37.775481,-122.416587
"910 Brannan St",37.771168,-122.405704
"1945 Hyde St",37.798693,-122.419029
"1625 Powell St",37.7995,-122.410767
"229 07th St",37.77767,-122.408506
"735 Davis St",37.799159,-122.398833
"1280 Laguna St",37.782785,-122.427101
"273 Jefferson St",37.807694,-122.416627
"223 Sutter St",37.789557,-122.403782
"999 Polk St",37.785636,-122.419715
"2420 Sutter St",37.785347,-122.440162
"1014 Mission St",37.780716,-122.409153
"299 Valencia St",37.768277,-122.421766
"2020 Alameda St",37.768673,-122.404955
"30 Division St",37.768805,-122.410083
"344 14th St",37.76837,-122.420812
"501 08th St",37.772501,-122.40644
"899 Valencia St",37.758662,-122.420841
"450 South St",37.769331,-122.388117
"1590 Owens St",37.768434,-122.39583
"1670 Owens St",37.76755,-122.394847
"409 Illinois St",37.766705,-122.387222
"376 Larkin St",37.781169,-122.416635
"488 South Van Ness Ave",37.76538,-122.417594
"150 Hayes St",37.777549,-122.418755
"100 Van Ness Ave",37.776794,-122.419053
"175 Turk St",37.782824,-122.411753
"191 Turk St",37.782794,-122.411963
"150 Turk St",37.783237,-122.411494
"450 Winston Dr",37.728299,-122.481975
"98 N State Dr",37.725227,-122.480268
"3399 16th St",37.764288,-122.428004
"540 Bosworth St",37.733636,-122.433202
"150 Paul Ave",37.722912,-122.396935
"30 Rickard",37.733592,-122.408264
"1460 Marin St",37.748669,-122.393815
"121 Napoleon St",37.746807,-122.39818
"1 Custom House Pl",37.795803,-122.401195
"98 Napoleon St",37.747381,-122.395533
"2270 Jerrold Ave",37.745647,-122.400932
"100 Martin Luther King Jr Dr",37.76738,-122.46095
"3550 03rd St",37.744672,-122.387358
"3500 Great Hwy",37.726604,-122.505057
"2180 Harrison St",37.76308,-122.413383
"429 Folsom St",37.787448,-122.393674
"50 Main St",37.792277,-122.395717
"798 Frederick St",37.766083,-122.45724
"1220 Martin Luther King Jr Dr",37.767215,-122.483563
"2121 Evans Ave",37.748581,-122.396868
"751 Stanyan St",37.767873,-122.453457
"970 Ocean Ave",37.723341,-122.452464
"201 Williams Ave",37.729699,-122.397314
"375 Woodside Ave",37.745849,-122.452067
"99 Seargeant John Young St",37.724716,-122.445775
"1198 Phelps St",37.738096,-122.392929
"1200 Phelps St",37.737973,-122.39304
"1700 Jerrold Ave",37.740078,-122.391112
"1750 Jerrold Ave",37.740505,-122.391865
"1575 Bayshore Blvd",37.724188,-122.400575
"180 Napoleon St",37.747201,-122.39849
"320 Main St",37.788852,-122.391448
"333 Beale St",37.78834,-122.391791
"25 Napoleon St",37.746915,-122.396414
"444 Deharo St",37.764189,-122.401613
"51 Zoe St",37.779976,-122.395659
"179 Hayes St",37.777104,-122.419028
"601 Brannan St",37.776199,-122.398605
"180 Fair Oaks St",37.753835,-122.424243
"1034 Page St",37.772278,-122.437715
"1826 Haight St",37.769086,-122.452354
"40 Folsom St",37.790374,-122.390052
"3001 Ortega St",37.751267,-122.495533
"3109 Ortega St",37.751213,-122.496675
"350 Paul Ave",37.723218,-122.398223
"1515 19th Ave",37.759379,-122.476931
"379 09th Ave",37.781439,-122.467653
"610 Brannan St",37.776347,-122.399153
"400 North Point St",37.806689,-122.413803
"7 Lombard St",37.803832,-122.402348
"371 12th St",37.770418,-122.413294
"655 Brotherhood Way",37.712568,-122.472875
"66 Potrero St",37.76863,-122.407905
"915 Minna St",37.774197,-122.4156
